"Actores","Director","Genero","Descripcion","Anho","Titulo"
"Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström","Sam Esmail","Crime, Drama, Thriller","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","24 Jun 2015","Mr. Robot"
"Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",,"Crime, Drama","A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","30 Sep 2014","Peaky Blinders"
"Karoline Eichhorn, Louis Hofmann, Jördis Triebel, Maja Schöne",,"Crime, Drama, Mystery, Sci-Fi, Thriller","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","01 Dec 2017","Dark"
"Bryan Cranston, Anna Gunn, Aaron Paul, Betsy Brandt",,"Crime, Drama, Thriller","A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","20 Jan 2008","Breaking Bad"
"Peter Dinklage, Lena Headey, Emilia Clarke, Kit Harington",,"Action, Adventure, Drama, Fantasy, Romance","Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.","17 Apr 2011","Game of Thrones"
"Norman Reedus, Melissa McBride, Danai Gurira, Andrew Lincoln",,"Drama, Horror, Thriller","Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive.","31 Oct 2010","The Walking Dead"
"Matthew McConaughey, Colin Farrell, Mahershala Ali, Woody Harrelson",,"Crime, Drama, Mystery, Thriller","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","12 Jan 2014","True Detective"
"Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo",,"Action, Drama, Sci-Fi","Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.","01 Nov 2019","See"
"Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner",,"Animation, Comedy","The satiric adventures of a working-class family in the misfit city of Springfield.","17 Dec 1989","The Simpsons"
"Bob Odenkirk, Jonathan Banks, Rhea Seehorn, Patrick Fabian",,"Crime, Drama","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","08 Feb 2015","Better Call Saul"
"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Tessa Thompson",,"Drama, Mystery, Sci-Fi, Western","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","02 Oct 2016","Westworld"
"Freddie Highmore, Nicholas Gonzalez, Antonia Thomas, Hill Harper",,"Drama","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","25 Sep 2017","The Good Doctor"
"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",,"Action, Adventure, Drama, History, Romance, War","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","03 Mar 2013","Vikings"
"Penn Badgley, Ambyr Childers, Victoria Pedretti, Elizabeth Lail",,"Crime, Drama, Romance, Thriller","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","09 Sep 2018","You"
"Dafne Keen, Kit Connor, Amir Wilson, Andrew Scott",,"Adventure, Drama, Family, Fantasy","A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.","04 Nov 2019","His Dark Materials"
"Gabriel Chavarria, Derek Luke, Hannah Emily Anderson, Max Martini",,"Action, Drama, Horror, Sci-Fi, Thriller","Set in an altered United States, several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.","04 Sep 2018","The Purge"
